shot_count,num_pairs,mean_accuracy_gap_4bit_minus_bf16,std_accuracy_gap,mean_ece_gap_4bit_minus_bf16,std_ece_gap
0,1,0.02408256880733939,,-0.023152266278726297,
1,6,0.018539755351681952,0.04467720751716221,-0.021939063837768804,0.03468407947852723
2,6,0.017010703363914397,0.0116818721277144,-0.02152926456581929,0.012144249511284474
4,6,0.00783639143730889,0.01328329537759481,-0.009113677187797107,0.008868455092275651
8,6,0.0036314984709480136,0.005495819980527748,-0.00674418869231818,0.0037193653516825655
